1347283634	52.3332801	5.6157813	52.77
1347283781	52.3332827	5.6157877	52.70
1347284146	52.3332833	5.6157957	53.36
1347284322	52.3332840	5.6158026	53.78
1347284325	52.3332841	5.6158030	53.80
1347284395	52.3332839	5.6158033	53.74
1347284540	52.3332855	5.6158096	54.68
1347284602	52.3332859	5.6158093	54.60
1347285184	52.3332820	5.6158127	54.88
1347285558	52.3332858	5.6158164	55.02
1347285861	52.3332876	5.6158190	54.91
1347286241	52.3332880	5.6158202	54.79
1347286922	52.3332919	5.6158233	54.76
1347363306	52.3333086	5.6157934	55.69
1347547836	52.3333053	5.6157933	55.52
