1339153178	340	340	253	253	1077	1077	323	323	2	2	1	0
1339153359	253	253	253	253	340	340	323	323	2	2	0	0
1339153582	253	253	253	253	323	323	323	323	2	2	1	0
1339153842	253	253	253	253	340	340	323	323	2	2	0	0
1339160463	253	253	253	253	323	323	323	323	2	2	1	0
1362139220	253	253	253	253	323	323	323	323	2	0	0	0
1516966587	253	253	253	253	323	323	323	323	2	0	0	0
1519053099	253	253	253	253	323	323	323	323	0	0	0	2
1519128618	253	253	253	253	323	323	323	323	2	0	0	0
1566399770	200	200	200	200	200	200	200	200	2	0	0	0
1572162994	253	253	253	253	323	323	323	323	2	0	0	0
